API_WellNo,FileNumber,Operator,WellName,County,Pool_Nm,PoolCompDate,Date_Treat,Top_,Bot,Frac_Acid,Units,Vol,Lbs_Prop,Acid_Con,MTPress,MTRate_N,Stages,Wh_Lat,Wh_Long
33053043630000,23673,WHITING OIL AND GAS CORPORATION,KOALA  2-2-11-14H3,MCKENZIE,BAKKEN,11/22/2013,6/6/2014,11605,13788,SAND,Bbl,11283,565511,NULL,8268,45.6,3,47.93433626,-103.442799
33053043620000,23672,WHITING OIL AND GAS CORPORATION,KOALA  2-2-11-15H,MCKENZIE,BAKKEN,11/24/2013,11/11/2013,12012,20724,SAND,Bbl,83624,3208458,NULL,8817,37.6,29,47.93433563,-103.4426765
33053043610000,23671,WHITING OIL AND GAS CORPORATION,KOALA 2-2-11-15H3,MCKENZIE,BAKKEN,6/17/2014,6/6/2014,11791,20810,SAND,Bbl,111938,4448237,NULL,10007,40.4,26,47.93433501,-103.442554
33053043600000,23670,WHITING OIL AND GAS CORPORATION,KOALA  8-5-6-5H3,MCKENZIE,BAKKEN,8/13/2013,7/30/2013,11834,20340,SAND,Bbl,79081,3189472,NULL,8802,31.3,27,47.92816835,-103.3726782
33053043590000,23669,WHITING OIL AND GAS CORPORATION,KOALA  8-5-6-5H,MCKENZIE,BAKKEN,8/12/2013,7/30/2013,11883,20404,SAND,Bbl,79681,3526258,NULL,8808,36.1,27,47.92816763,-103.3725557
33053043580000,23668,WHITING OIL AND GAS CORPORATION,KOALA  8-5-6-4H3,MCKENZIE,BAKKEN,8/17/2013,7/31/2013,11961,20850,SAND,Bbl,86817,3381308,NULL,8479,31,28,47.92816691,-103.3724333
33053045580000,23667,BURLINGTON RESOURCES OIL & GAS COMPANY LP,KUMMER 21-30TFH,MCKENZIE,BAKKEN,3/7/2013,3/3/2013,20282,20569,SAND,Bbl,3265,140000,NULL,7930,28,2,47.78895914,-102.8877299
33053045580000,23667,BURLINGTON RESOURCES OIL & GAS COMPANY LP,KUMMER 21-30TFH,MCKENZIE,BAKKEN,3/7/2013,3/5/2013,17288,20001,SAND,Bbl,15356,1112000,NULL,8072,40,10,47.78895914,-102.8877299
33053045580000,23667,BURLINGTON RESOURCES OIL & GAS COMPANY LP,KUMMER 21-30TFH,MCKENZIE,BAKKEN,3/7/2013,3/6/2013,11428,16957,SAND,Bbl,28481,2098000,NULL,7136,40,18,47.78895914,-102.8877299
33053045570000,23666,BURLINGTON RESOURCES OIL & GAS COMPANY LP,KUMMER 21-30MBH,MCKENZIE,BAKKEN,3/11/2013,3/1/2013,18548,20762,SAND,Bbl,13411,786997,NULL,8507,35,8,47.78895873,-102.8880414
