58119,2164540,8483,36.4,27,8642
22780,892457,8061,37.2,26,9499
87482,4029300,8909,37.3,30,8988
39060,2068743,8504,40.4,15,9729
86014,4410480,9480,35.6,30,8465
84679,4405520,7868,36.6,30,8860
50752,2588169,8269,43.4,26,9598
24173,2145020,6341,46.8,26,9789
20094,1226096,7122,54.8,26,9497
32798,2721989,7951,42,26,9000
63400,3445000,9300,40,32,10022
69188,2760986,7213,38.7,26,8963
63944,3227603,8006,32.7,25,9220
58174,1521162,7210,48,26,9447
35112,1078704,8745,32.7,26,9561
23000,1876220,6906,43.4,26,6733
56500,2185130,7595,31,26,9351
29614,13262,7803,41.8,15,5060
25394,1777326,8040,31,19,4707
50185,3644569,7409,37.3,40,9387
54530,2369909,8153,47,26,9553
72452,3971555,7601,36.9,26,9338
82131,4433336,8394,41,26,9374
62598,2864740,8557,39.7,22,8775
25789,2016917,5933,31.3,26,4263
56839,3882962,6106,32.3,26,8793
1669,96112,6658,21.3,6,9360
35822,3422062,10500,35,26,9643
42833,1929882,9340,38.6,26,4438
36245,2005118,9716,48,26,8233
61066,3216400,10027,36.5,26,7994
22672,1712201,6042,24.9,17,4333
35358,1534620,8429,45.1,26,8820
34986,3269651,3132,25.8,26,7681
37011,2733602,6856,30.7,34,9310
30599,2738508,6912,31.5,34,9939
33237,1860452,2836,22.8,26,8816
30713,1678615,7119,42,26,9746
49178,2185942,9024,52,26,9092
38832,2398920,8658,41.1,26,9461
35124,2316800,9369,46.5,26,9503
56828,3088300,4720,25.2,21,5203
53341,3138240,6490,46,24,9348
68061,1243004,7625,47.9,26,8762
125103,2144041,9173,77,26,5512
66295,3449360,9112,44.7,37,9648
45993,2945305,8801,32,20,8416
20931,1347400,6051,28.4,17,9520
50121,2914030,7116,31.4,32,10015
50121,2914030,7116,31.4,32,10015
50121,2914030,8510,31.4,32,9558
50121,2914030,8510,31.4,32,9558
50432,2935227,9120,30.8,32,9127
65704,3369697,9011,47.5,26,9533
33648,1825200,9330,28.4,26,4145
61899,2650506,8000,44.3,26,9346
96149,1293628,7475,45.6,26,9920
116525,1256620,8260,46,26,8523
30788,819014,7491,33.9,26,6148
50636,3791693,8577,22.9,31,9179
45905,3916885,8312,35,26,8624
63779,3534480,8328,43.6,26,10479
32113,1964520,8607,41,26,9640
72372,3278931,10173,45.2,28,9063
77869,3831310,9520,44.3,33,9474
40860,1421320,8140,32.1,26,8568
73365,4189643,8460,33.5,26,10191
22687,2519600,7941,48.4,20,8990
68897,3507281,8074,34.4,26,7469
46174,2309500,7820,42,24,8302
48686,2312560,8420,42.5,24,9577
46721,2761342,8974,35.8,26,9554
49404,3884416,8829,25.3,26,9450
38896,2769040,6970,31.7,24,9470
49068,2772000,8306,40,26,9112
12461,1890340,6062,51,13,9199
51707,3141090,6770,48,24,9335
81561,3866429,9593,39.3,26,9579
63811,2850842,8288,37.8,30,9911
12614,922965,3845,22.4,26,4848
22709,1775810,6428,27.1,26,4163
49574,3809923,3499,24.7,26,9000
60424,2782395,8450,41.2,26,9642
82803,3084129,10211,37.6,27,9153
49969,2105702,8763,53,24,9624
13623,1948740,8018,50.4,14,9000
24386,2652460,8540,50.8,26,10188
45784,2040410,9711,32.7,25,8798
23588,2490240,7539,39,20,9565
19241,1837653,6536,25.4,18,4432
82905,4559580,8986,47.1,26,9137
50409,2971555,7601,36.9,26,10020
18734,1120345,7227,40.7,26,9848
30144,2171270,6905,42.4,26,9611
31967,2531960,4586,29.9,26,5740
48807,2357420,8100,43,26,9000
21252,2149591,4240,21.9,26,4875
50956,2609731,8500,43.1,24,9357
30045,2970040,6916,45.6,26,9919
54105,3165951,7830,41,24,9552
3697,106064,5744,25.6,26,9337
60346,2347297,9182,43.7,26,9217
46506,2406830,7250,28,26,5376
53685,4076401,8379,35.1,26,8732
18951,1170842,6406,25.8,18,10157
48251,2290126,8092,53,26,9475
26139,1010516,8331,32.2,26,9015
56919,238718,8636,59,24,9674
39487,2126374,9608,30.6,26,4073
52411,2572414,8022,41.6,26,10173
55676,2757849,8606,53,26,10097
2737,14566,6941,25,26,9504
57624,2589820,8923,41.1,26,9514
52338,3869114,3160,22.4,31,8822
8075,288200,8714,37.9,2,9938
115706,2092399,9033,75.5,26,5596
67430,3842630,9530,42.2,26,9545
81925,3285650,8338,38.5,26,9400
19296,1735724,3476,26,26,4842
48593,2631000,8500,35,26,9191
58600,2800000,8600,35,26,9252
38619,2178700,6539,37.5,26,7582
41463,2312257,7200,32,26,7526
46588,2601253,7757,35.8,26,9233
69631,3506618,9283,42,26,10438
51266,3008511,8651,30.5,26,9799
37218,2991800,8562,31.5,24,10508
57654,2646476,8000,41.6,26,9076
52336,3087489,5310,44,26,9254
72600,3658042,8788,38.4,24,8432
57979,3973139,8314,32.8,26,8479
24523,2719520,8619,36.1,26,10224
23314,3119000,6296,37.8,26,10193
46643,2021276,7653,31.3,26,8327
34934,3509890,8582,48,26,9808
52038,3190711,6870,44,24,9643
22508,2367000,8175,34.9,26,8655
57291,3353986,8568,40.6,26,10595
33618,3056571,8975,28,16,6478
65069,3224668,8738,56,24,9532
20747,1500960,9992,35,26,4559
21021,1703220,9980,35,16,4553
67339,2622967,8943,62,24,10406
28277,2299700,7346,44,26,9030
72857,3488883,9202,46.3,26,8650
26408,1232608,7808,41.8,26,4252
32142,12546,6629,41.2,16,5802
27021,1000000,6808,20.7,40,8966
83653,4070716,8600,38.3,27,7625
28239,2805040,8780,30,26,9530
56766,2361130,8734,51,26,9470
52744,3100485,7380,44,24,9630
49804,3668768,7543,35.7,26,9395
48961,2813338,7054,31,29,9810
28082,3430769,8981,51.6,26,12036
29581,922035,4827,29.2,15,4147
51232,2728669,9015,34.7,22,7844
19631,1776027,5550,36.6,21,5668
43962,3243480,7096,46.4,26,9834
58222,3033591,8970,34.3,25,8985
65087,4471026,8562,49,26,9134
53959,2890910,7696,31.1,30,9526
78109,3265216,9150,44,31,9357
58438,2249000,7988,39.3,26,8721
33661,2649590,6713,41.4,26,7669
27662,2307720,6691,68.9,26,9225
73514,2382834,9895,38.8,30,9670
69711,2685768,9050,37.1,26,8892
74357,3778820,9399,39.9,33,9224
75280,3838320,9364,50,26,9377
46248,2437487,6725,41.5,26,6626
57471,2970461,7900,42,26,9340
28849,643262,7163,55,13,4266
22568,1851320,7067,34,19,4293
58300,3800000,9300,30,32,9272
60412,2813681,8500,41,26,9553
77934,3867540,8908,42.3,26,9465
44124,2795010,7700,41,24,9655
48526,2796320,7920,41.4,24,10135
44861,2852068,8090,42.7,26,9616
44395,2812140,7260,41.2,24,10019
43039,2794760,7540,42.3,26,9540
49791,2571120,9028,57,18,10431
37902,2219330,8891,58,18,9499
57668,2786400,8500,41,26,9665
21921,2440600,7736,43.9,20,9250
27885,1444352,6754,49.4,26,9014
70000,3759000,10000,35,26,9365
46420,2619950,8500,41,26,9437
42603,2075058,5111,29.7,26,4756
31783,1686723,8949,31,26,5676
50882,2572886,8400,39.7,26,9408
42298,1929195,8494,48.1,26,9039
